City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,83.59,clear sky,3.0707,172.7902,Isles Sunset Lodge
3,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
6,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
7,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Berezovyy,RU,76.55,few clouds,51.6667,135.7,"Hotel ""Phoenix"""
15,Kailua,US,78.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
17,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
19,Roswell,US,76.39,mist,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
24,Atuona,PF,77.68,overcast clouds,-9.8,-139.0333,Villa Enata
39,Itarema,BR,85.48,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
43,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
47,Ugoofaaru,MV,83.01,moderate rain,5.6667,73.0,Ungoofaaru Inn
49,Kendari,ID,75.09,overcast clouds,-3.945,122.4989,Hotel Wixel
51,Yazykovo,RU,75.43,light rain,55.2199,56.1353,Children's camp
52,Hounde,BF,85.95,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
53,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
56,Mogadishu,SO,82.27,light rain,2.0371,45.3438,Hotel Juba
58,Naze,JP,78.4,light rain,28.3667,129.4833,奄美ポートタワーホテル
60,Ziyang,CN,75.27,broken clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
63,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Cititel Penang
64,Pontes E Lacerda,BR,84.15,clear sky,-15.2261,-59.3353,Hotel Bressan
66,Khani,GE,76.57,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
67,Kalmunai,LK,87.71,overcast clouds,7.4167,81.8167,VS Villa
73,Slonim,BY,76.71,few clouds,53.0867,25.3219,Hostel on Brestskaya 107
78,Zhovtneve,UA,76.66,broken clouds,50.6637,24.2492,
80,Kapit,MY,81.66,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
82,Hithadhoo,MV,82.92,broken clouds,-0.6,73.0833,Scoop Guest House
