City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Mataura,NZ,-46.1927,168.8643,40.48,90,99,3.69,overcast clouds
Butaritari,KI,3.0707,172.7902,83.59,71,0,16.89,clear sky
Cherskiy,RU,68.75,161.3,38.55,86,63,6.67,broken clouds
Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,19.57,scattered clouds
Palmer,US,42.1584,-72.3287,72.01,85,20,0.0,few clouds
Barrow,US,71.2906,-156.7887,37.42,93,90,8.05,light rain
Souillac,MU,-20.5167,57.5167,75.58,60,40,8.05,scattered clouds
Kapaa,US,22.0752,-159.319,79.12,83,90,4.0,light rain
San Ramon,US,37.7799,-121.978,60.82,84,1,0.0,clear sky
Pangnirtung,CA,66.1451,-65.7125,46.4,71,90,5.75,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.22,87,75,11.5,broken clouds
Vostok,RU,46.4856,135.8833,74.01,74,61,4.21,broken clouds
Jamestown,US,42.097,-79.2353,65.84,88,1,1.99,clear sky
Berezovyy,RU,51.6667,135.7,76.55,68,18,3.6,few clouds
Rikitea,PF,-23.1203,-134.9692,68.63,56,0,5.66,clear sky
Kailua,US,21.4022,-157.7394,78.78,76,75,11.5,broken clouds
Ushuaia,AR,-54.8,-68.3,33.46,93,40,5.75,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,75.45,60,40,8.05,scattered clouds
Fayaoue,NC,-20.65,166.5333,74.03,85,1,8.55,clear sky
Roswell,US,34.0232,-84.3616,76.39,93,1,0.0,mist
Necochea,AR,-38.5473,-58.7368,48.04,63,96,13.27,overcast clouds
Ilulissat,GL,69.2167,-51.1,46.42,76,75,13.8,broken clouds
Avarua,CK,-21.2078,-159.775,69.85,83,40,2.3,scattered clouds
Kodiak,US,57.79,-152.4072,50.94,99,100,8.05,light rain
Atuona,PF,-9.8,-139.0333,77.68,70,97,15.14,overcast clouds
Bethel,US,41.3712,-73.414,72.84,84,1,1.01,clear sky
College,US,64.8569,-147.8028,61.59,95,90,3.44,moderate rain
Cape Town,ZA,-33.9258,18.4232,68.27,19,0,2.3,clear sky
Hopelchen,MX,19.7667,-89.85,72.68,83,35,2.82,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,49.12,68,0,8.01,clear sky
Hermanus,ZA,-34.4187,19.2345,64.8,47,83,3.04,broken clouds
Agadez,NE,19.75,10.25,106.07,12,6,11.45,clear sky
Albany,US,42.6001,-73.9662,67.42,88,0,2.68,clear sky
Ancud,CL,-41.8697,-73.8203,35.13,82,100,5.26,overcast clouds
High Level,CA,58.5169,-117.136,60.91,77,75,2.3,moderate rain
Yellowknife,CA,62.456,-114.3525,50.52,76,75,5.01,broken clouds
Saldanha,ZA,-33.0117,17.9442,68.05,45,18,2.75,few clouds
Hobart,AU,-42.8794,147.3294,44.26,85,75,1.99,broken clouds
Geraldton,AU,-28.7667,114.6,55.81,88,100,3.44,overcast clouds
Itarema,BR,-2.9248,-39.9167,85.48,48,65,15.03,broken clouds
Lagoa,PT,39.05,-27.9833,70.61,95,10,13.22,clear sky
Iqaluit,CA,63.7506,-68.5145,43.7,81,75,8.99,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,72.55,80,66,5.99,broken clouds
Olinda,BR,-8.0089,-34.8553,78.53,61,40,16.11,scattered clouds
Vila Velha,BR,-20.3297,-40.2925,74.97,67,40,2.3,scattered clouds
Fairbanks,US,64.8378,-147.7164,61.61,95,90,3.44,light rain
Lebu,CL,-37.6167,-73.65,47.8,84,7,5.32,clear sky
Ugoofaaru,MV,5.6667,73.0,83.01,71,100,6.67,moderate rain
Waddan,LY,29.1614,16.139,94.42,18,0,11.32,clear sky
Kendari,ID,-3.945,122.4989,75.09,84,100,1.92,overcast clouds
Saskylakh,RU,71.9167,114.0833,60.15,65,100,3.4,overcast clouds
Yazykovo,RU,55.2199,56.1353,75.43,37,46,6.85,light rain
Hounde,BF,11.5,-3.5167,85.95,51,100,10.27,overcast clouds
Kahului,US,20.8947,-156.47,76.84,92,10,11.01,clear sky
Balkanabat,TM,39.5108,54.3671,102.02,26,0,12.24,clear sky
East London,ZA,-33.0153,27.9116,61.74,59,0,17.27,clear sky
Mogadishu,SO,2.0371,45.3438,82.27,61,75,21.85,light rain
Clyde River,CA,70.4692,-68.5914,34.03,93,90,5.75,overcast clouds
Naze,JP,28.3667,129.4833,78.4,90,100,23.89,light rain
Carnarvon,AU,-24.8667,113.6333,62.67,59,40,6.91,scattered clouds
Ziyang,CN,29.2497,117.8547,75.27,91,60,3.15,broken clouds
Veinticinco De Mayo,AR,-35.4323,-60.1727,50.05,62,100,14.88,overcast clouds
General Pico,AR,-35.6566,-63.7568,46.72,52,0,11.52,clear sky
Georgetown,MY,5.4112,100.3354,85.98,74,20,7.0,few clouds
Pontes E Lacerda,BR,-15.2261,-59.3353,84.15,33,0,4.34,clear sky
Novikovo,RU,51.1537,37.8879,74.61,48,94,7.85,overcast clouds
Khani,GE,41.9563,42.9566,76.57,61,36,6.33,scattered clouds
Kalmunai,LK,7.4167,81.8167,87.71,59,96,5.3,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,3.02,overcast clouds
Bonavista,CA,48.6499,-53.1147,62.11,81,62,5.97,broken clouds
Busselton,AU,-33.65,115.3333,54.09,71,100,13.62,overcast clouds
Sobolevo,RU,54.4299,31.8996,70.45,54,96,0.29,overcast clouds
Tikrit,IQ,34.6071,43.6782,111.78,11,0,12.57,clear sky
Slonim,BY,53.0867,25.3219,76.71,48,16,6.15,few clouds
Nanortalik,GL,60.1432,-45.2371,43.57,97,100,10.36,overcast clouds
Dukat,RU,62.55,155.55,50.22,89,100,3.38,overcast clouds
